date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:22:21	0/0	---M--	200	added ('OK')	text/plain	etag:%2252988-0-460f69dc-windows-1251%22	http://www.5v.ru/robots.txt		(from )
23:22:22	27194/27194	---M--	200	added ('OK')	text/html	etag:%2252746-6a3a-545fc2df-windows-1251%22	http://www.5v.ru/ds/trnz_ru.htm	C:/Users/user/Desktop/Учеба/3%20курс%20Сент-Янв/Базы%20данных/Sites/Транзисторы/www.5v.ru/ds/trnz_ru.htm	(from )
23:22:23	7553/7553	---M--	200	added ('OK')	text/html	etag:%2252707-1d81-545fc2c7-windows-1251%22	http://www.5v.ru/ds/trnz/gt308.htm	C:/Users/user/Desktop/Учеба/3%20курс%20Сент-Янв/Базы%20данных/Sites/Транзисторы/www.5v.ru/ds/trnz/gt308.htm	(from )
23:22:23	6672/6672	---M--	200	added ('OK')	text/html	etag:%2252708-1a10-545fc2c7-windows-1251%22	http://www.5v.ru/ds/trnz/gt309.htm	C:/Users/user/Desktop/Учеба/3%20курс%20Сент-Янв/Базы%20данных/Sites/Транзисторы/www.5v.ru/ds/trnz/gt309.htm	(from )
23:22:24	6686/6686	---M--	200	added ('OK')	text/html	etag:%2252709-1a1e-545fc2c7-windows-1251%22	http://www.5v.ru/ds/trnz/gt310.htm	C:/Users/user/Desktop/Учеба/3%20курс%20Сент-Янв/Базы%20данных/Sites/Транзисторы/www.5v.ru/ds/trnz/gt310.htm	(from )
23:22:27	10065/10065	---M--	200	added ('OK')	text/html	etag:%225270a-2751-545fc2c7-windows-1251%22	http://www.5v.ru/ds/trnz/gt311.htm	C:/Users/user/Desktop/Учеба/3%20курс%20Сент-Янв/Базы%20данных/Sites/Транзисторы/www.5v.ru/ds/trnz/gt311.htm	(from )
23:22:27	6725/6725	---M--	200	added ('OK')	text/html	etag:%225270b-1a45-545fc2c8-windows-1251%22	http://www.5v.ru/ds/trnz/gt313.htm	C:/Users/user/Desktop/Учеба/3%20курс%20Сент-Янв/Базы%20данных/Sites/Транзисторы/www.5v.ru/ds/trnz/gt313.htm	(from )
23:22:28	6680/6680	---M--	200	added ('OK')	text/html	etag:%22526fb-1a18-545fc2c8-windows-1251%22	http://www.5v.ru/ds/trnz/gt322.htm	C:/Users/user/Desktop/Учеба/3%20курс%20Сент-Янв/Базы%20данных/Sites/Транзисторы/www.5v.ru/ds/trnz/gt322.htm	(from )
23:22:29	5211/5211	---M--	200	added ('OK')	text/html	etag:%225270c-145b-545fc2c8-windows-1251%22	http://www.5v.ru/ds/trnz/gt328.htm	C:/Users/user/Desktop/Учеба/3%20курс%20Сент-Янв/Базы%20данных/Sites/Транзисторы/www.5v.ru/ds/trnz/gt328.htm	(from )
23:22:32	7171/7171	---M--	200	added ('OK')	text/html	etag:%225270d-1c03-545fc2c8-windows-1251%22	http://www.5v.ru/ds/trnz/gt329.htm	C:/Users/user/Desktop/Учеба/3%20курс%20Сент-Янв/Базы%20данных/Sites/Транзисторы/www.5v.ru/ds/trnz/gt329.htm	(from )
23:22:33	11575/11575	---M--	200	added ('OK')	text/html	etag:%225270e-2d37-545fc2c9-windows-1251%22	http://www.5v.ru/ds/trnz/gt402.htm	C:/Users/user/Desktop/Учеба/3%20курс%20Сент-Янв/Базы%20данных/Sites/Транзисторы/www.5v.ru/ds/trnz/gt402.htm	(from )
23:22:34	12433/12433	---M--	200	added ('OK')	text/html	etag:%225270f-3091-545fc2c9-windows-1251%22	http://www.5v.ru/ds/trnz/gt403.htm	C:/Users/user/Desktop/Учеба/3%20курс%20Сент-Янв/Базы%20данных/Sites/Транзисторы/www.5v.ru/ds/trnz/gt403.htm	(from )
